obj_id,x,y,dx,dy,pdf,type
1,49,505,147.0,-14.0,2.42029269858441e-05,1
1,196,491,139.0,-9.0,0.00010141539719317668,1
1,335,482,118.0,-11.0,0.00019834696419909685,1
1,453,471,-383.0,453.0,0.0,1
1,567,467,-398.0,460.0,0.0,1
1,661,467,-400.0,461.0,0.0,1
1,747,470,-397.0,460.0,0.0,1
1,824,476,-391.0,477.0,0.0,1
1,898,483,-395.0,476.0,0.0,1
1,991,488,-418.0,473.0,0.0,1
1,1089,493,-445.0,466.0,0.0,1
1,1196,498,-483.0,462.0,0.0,1
1,1316,496,-532.0,465.0,0.0,1
1,1430,495,-575.0,466.0,0.0,1
1,1532,498,-1474.0,-412.0,0.0,1
1,1640,505,-1451.0,-420.0,0.0,1
1,1740,506,-1425.0,-421.0,0.0,1
1,1861,510,-1424.0,-425.0,0.0,1
1,1965,518,-1407.0,-434.0,0.0,1
1,2085,525,-1408.0,-441.0,0.0,1
1,2195,529,-1399.0,-445.0,0.0,1
1,2310,536,-1397.0,-451.0,0.0,1
1,2405,546,-1374.0,-460.0,0.0,1
1,2963,94,-242.0,874.0,0.0,1
1,3072,94,-282.0,873.0,0.0,1
1,3183,95,-325.0,871.0,0.0,1
1,3292,95,-362.0,869.0,0.0,1
1,2511,554,-1363.0,-466.0,0.0,1
1,2615,560,-1350.0,-472.0,0.0,1
1,2713,569,-1332.0,-479.0,0.0,1
1,2821,583,-1323.0,-492.0,0.0,1
1,2935,593,-1322.0,-500.0,0.0,1
1,3054,604,-1327.0,-510.0,0.0,1
1,3162,621,-1320.0,-525.0,0.0,1
1,3257,637,-1300.0,-538.0,0.0,1
1,3402,94,-405.0,870.0,0.0,1
1,3512,94,-449.0,872.0,0.0,1
1,3622,94,-491.0,871.0,0.0,1
1,3731,93,-532.0,872.0,0.0,1
1,3840,95,-572.0,872.0,0.0,1
1,3948,96,-612.0,871.0,0.0,1
1,4056,97,-652.0,869.0,0.0,1
1,3348,647,-1275.0,-548.0,0.0,1
1,3410,655,-1223.0,-556.0,0.0,1
1,3482,653,-1205.0,309.0,0.0,1
1,3543,646,-1208.0,316.0,0.0,1
1,3619,636,-1223.0,328.0,0.0,1
1,3716,626,-1258.0,339.0,0.0,1
