   2,   18, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_002\Image_018.png', cX=3743, cY=1631, Frame=   167
   3,   10, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_010.png', cX=1102, cY= 930, Frame=   167
   1,   19, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_019.png', cX=3230, cY= 973, Frame=   168
   2,   19, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_002\Image_019.png', cX=3877, cY=1634, Frame=   168
   3,   11, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_011.png', cX=1195, cY= 930, Frame=   168
   1,   20, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_020.png', cX=3343, cY= 971, Frame=   169
   2,   20, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_002\Image_020.png', cX=4010, cY=1635, Frame=   169
   3,   12, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_012.png', cX=1289, cY= 930, Frame=   169
   1,   21, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_021.png', cX=3455, cY= 968, Frame=   170
   3,   13, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_013.png', cX=1381, cY= 929, Frame=   170
   1,   22, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_022.png', cX=3567, cY= 964, Frame=   171
   3,   14, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_014.png', cX=1475, cY= 929, Frame=   171
   1,   23, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_023.png', cX=3680, cY= 954, Frame=   172
   3,   15, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_015.png', cX=1567, cY= 928, Frame=   172
   1,   24, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_024.png', cX=3800, cY= 944, Frame=   173
   3,   16, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_016.png', cX=1659, cY= 928, Frame=   173
   1,   25, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_025.png', cX=3921, cY= 936, Frame=   174
   3,   17, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_017.png', cX=1751, cY= 927, Frame=   174
   1,   26, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_001\Image_026.png', cX=4046, cY= 931, Frame=   175
   3,   18, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_018.png', cX=1842, cY= 927, Frame=   175
   5,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_001.png', cX= 290, cY= 507, Frame=   175
   3,   19, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_019.png', cX=1932, cY= 927, Frame=   176
   5,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_002.png', cX= 398, cY= 505, Frame=   176
   3,   20, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_020.png', cX=2022, cY= 927, Frame=   177
   5,    3, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_003.png', cX= 505, cY= 504, Frame=   177
   6,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_001.png', cX= 225, cY= 266, Frame=   177
   3,   21, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_021.png', cX=2111, cY= 926, Frame=   178
   5,    4, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_004.png', cX= 614, cY= 505, Frame=   178
   6,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_002.png', cX= 340, cY= 265, Frame=   178
   7,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_001.png', cX= 337, cY= 767, Frame=   178
   3,   22, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_022.png', cX=2202, cY= 925, Frame=   179
   5,    5, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_005.png', cX= 721, cY= 505, Frame=   179
   6,    3, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_003.png', cX= 454, cY= 264, Frame=   179
   7,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_002.png', cX= 464, cY= 767, Frame=   179
   3,   23, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_023.png', cX=2291, cY= 925, Frame=   180
   5,    6, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_006.png', cX= 829, cY= 506, Frame=   180
   6,    4, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_004.png', cX= 567, cY= 262, Frame=   180
   7,    3, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_003.png', cX= 585, cY= 766, Frame=   180
   3,   24, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_024.png', cX=2380, cY= 925, Frame=   181
   5,    7, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_007.png', cX= 935, cY= 507, Frame=   181
   6,    5, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_005.png', cX= 678, cY= 261, Frame=   181
   7,    4, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_004.png', cX= 702, cY= 765, Frame=   181
   8,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_001.png', cX= 226, cY= 582, Frame=   181
   9,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_001.png', cX= 351, cY= 708, Frame=   181
   3,   25, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_025.png', cX=2469, cY= 924, Frame=   182
   5,    8, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_008.png', cX=1038, cY= 507, Frame=   182
   6,    6, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_006.png', cX= 788, cY= 259, Frame=   182
   7,    5, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_005.png', cX= 820, cY= 765, Frame=   182
   8,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_002.png', cX= 346, cY= 580, Frame=   182
   9,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_002.png', cX= 503, cY= 708, Frame=   182
   3,   26, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_026.png', cX=2556, cY= 924, Frame=   183
   5,    9, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_009.png', cX=1138, cY= 505, Frame=   183
   6,    7, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_007.png', cX= 898, cY= 259, Frame=   183
   7,    6, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_006.png', cX= 936, cY= 764, Frame=   183
   8,    3, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_003.png', cX= 464, cY= 577, Frame=   183
   9,    3, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_003.png', cX= 650, cY= 707, Frame=   183
   3,   27, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_027.png', cX=2644, cY= 923, Frame=   184
   5,   10, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_010.png', cX=1240, cY= 504, Frame=   184
   6,    8, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_008.png', cX=1008, cY= 260, Frame=   184
   7,    7, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_007.png', cX=1051, cY= 763, Frame=   184
   8,    4, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_004.png', cX= 581, cY= 575, Frame=   184
   9,    4, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_004.png', cX= 796, cY= 706, Frame=   184
  10,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_010\Image_001.png', cX= 336, cY=1779, Frame=   184
   3,   28, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_028.png', cX=2732, cY= 922, Frame=   185
   5,   11, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_011.png', cX=1343, cY= 505, Frame=   185
   6,    9, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_009.png', cX=1117, cY= 261, Frame=   185
   7,    8, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_008.png', cX=1164, cY= 762, Frame=   185
   8,    5, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_005.png', cX= 697, cY= 574, Frame=   185
   9,    5, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_005.png', cX= 940, cY= 706, Frame=   185
  10,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_010\Image_002.png', cX= 463, cY=1783, Frame=   185
   3,   29, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_029.png', cX=2820, cY= 922, Frame=   186
   5,   12, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_012.png', cX=1445, cY= 506, Frame=   186
   6,   10, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_010.png', cX=1226, cY= 261, Frame=   186
   7,    9, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_009.png', cX=1277, cY= 762, Frame=   186
   8,    6, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_006.png', cX= 808, cY= 573, Frame=   186
   9,    6, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_006.png', cX=1081, cY= 705, Frame=   186
  10,    3, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_010\Image_003.png', cX= 587, cY=1786, Frame=   186
  11,    1, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_011\Image_001.png', cX= 316, cY=1173, Frame=   186
   3,   30, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_030.png', cX=2907, cY= 922, Frame=   187
   5,   13, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_013.png', cX=1546, cY= 507, Frame=   187
   6,   11, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_011.png', cX=1334, cY= 261, Frame=   187
   7,   10, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_010.png', cX=1387, cY= 761, Frame=   187
   8,    7, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_007.png', cX= 913, cY= 573, Frame=   187
   9,    7, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_009\Image_007.png', cX=1222, cY= 704, Frame=   187
  10,    4, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_010\Image_004.png', cX= 710, cY=1789, Frame=   187
  11,    2, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_011\Image_002.png', cX= 472, cY=1174, Frame=   187
   3,   31, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_003\Image_031.png', cX=2991, cY= 921, Frame=   188
   5,   14, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_005\Image_014.png', cX=1648, cY= 507, Frame=   188
   6,   12, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_006\Image_012.png', cX=1442, cY= 261, Frame=   188
   7,   11, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_007\Image_011.png', cX=1495, cY= 760, Frame=   188
   8,    8, '..\VideoTestCases\Preserved Ostracods 1a Image 1a\Images_001\Object_008\Image_008.png', cX=1021, cY= 573, Frame=   188
